DayOfMonth,PercentDelayed
1,0.16977426167263018
2,0.17482213417252307
3,0.17976225484651753
4,0.1841972371536623
5,0.21043068228054823
6,0.21070757670632437
7,0.2186766382721846
8,0.1877897135776792
9,0.1844592248600321
10,0.18685312995876505
11,0.17992631683759833
12,0.18018944845436985
13,0.17755852986744705
14,0.17412485758063884
15,0.1820850884352251
16,0.16350577160625293
17,0.20176263030413696
18,0.20833446039156708
19,0.1890615038388814
20,0.19507882403067747
21,0.17885239319856333
22,0.19307061481309745
23,0.19610157291953342
24,0.19515995710647424
25,0.14896597918003962
26,0.1547299559447955
27,0.163762533787878
28,0.16686952421680537
29,0.16550580033897697
30,0.17923163007622764
31,0.14450239026510214
